Equipment,,,,,,
Name,Equipment Cost [USD],Installed Cost [USD],Equipment Weight [LBS],Installed Weight [LBS],Sizing Errors,Evaluation Errors
STRIPPER-bottoms split,0,0,0,0,,
STRIPPER-reb,1315900,1386600,0,17580,,ERROR> 'RB -    2' HEAT TRANSFER DUTY IS OUT OF RANGE
STRIPPER-tower,1237600,2538400,313800,518220,,
HEATER,138400,335800,25700,60101,,
ABSORBER-tower,2491600,6508000,711900,1280627,,
COOLER,1248700,1906200,251000,365025,,
MIXER,0,0,0,0,,
PUMP2,7100,46700,220,3687,,
PUMP,69500,368400,3500,51769,,
FLASHSEP-flash vessel,122400,431300,25800,61962,,
