HEATERS,,,,FLASH2,,,PUMPS,,,,RADFRAC,,,,MIXERS,
Name,COOLER,HEATER,,Name,FLASHSEP,,Name,PUMP,PUMP2,,Name,ABSORBER,STRIPPER,,Name,MIXER
Property method,ELECNRTL,ELECNRTL,,Property method,ELECNRTL,,Property method,ELECNRTL,ELECNRTL,,Property method,ELECNRTL,ELECNRTL,,Property method,ELECNRTL
Henry's component list ID,GLOBAL,GLOBAL,,Henry's component list ID,GLOBAL,,Henry's component list ID,GLOBAL,GLOBAL,,Henry's component list ID,GLOBAL,GLOBAL,,Henry's component list ID,GLOBAL
Electrolyte chemistry ID,MEA,MEA,,Electrolyte chemistry ID,MEA,,Electrolyte chemistry ID,MEA,MEA,,Electrolyte chemistry ID,MEA,MEA,,Electrolyte chemistry ID,MEA
Use true species approach for electrolytes,YES,YES,,Use true species approach for electrolytes,YES,,Use true species approach for electrolytes,YES,YES,,Use true species approach for electrolytes,YES,YES,,Use true species approach for electrolytes,YES
Free-water phase properties method,STEAM-TA,STEAM-TA,,Free-water phase properties method,STEAM-TA,,Free-water phase properties method,STEAM-TA,STEAM-TA,,Free-water phase properties method,STEAM-TA,STEAM-TA,,Free-water phase properties method,STEAM-TA
Water solubility method,3,3,,Water solubility method,3,,Water solubility method,3,3,,Water solubility method,3,3,,Water solubility method,3
Specified pressure [bar],1.1,3,,Temperature [C],40,,Model Type,,,,Number of stages,15,15,,Specified pressure [N/sqm],0
Specified temperature [C],40,80,,Pressure [atm],1.8,,Specified discharge pressure [N/sqm],,,,Condenser,NONE,NONE,,Temperature estimate [K],
Specified vapor fraction,,,,Specified vapor fraction,,,Specified pressure increase [bar],1,1,,Reboiler ,NONE,KETTLE,,EO Model components,
Specified heat duty [Watt],,,,Specified heat duty [Watt],,,Specified pressure ratio,,,,Number of phases,2,2,,Outlet temperature [K],379.74306
EO Model components,,,,EO Model components,,,Specified power required [Watt],,,,Free-water,NO,NO,,Calculated outlet pressure [N/sqm],110000
Calculated pressure [N/sqm],110000,300000,,Outlet temperature [K],313.15,,Pump efficiencies,,,,Top stage pressure [N/sqm],,,,Vapor fraction,0.030753091
Calculated temperature [K],313.15,353.15,,Outlet pressure [N/sqm],182385,,Driver efficiencies,,,,Specified reflux ratio,,,,First liquid /Total liquid,1
Calculated vapor fraction,0,1.27E-05,,Vapor fraction,0.831551212,,Suction area [sqm],,,,Specified bottoms rate [kmol/sec],,,,Total feed stream CO2e flow [kg/sec],0.000169009
Calculated heat duty [Watt],-150738349,59954419.9,,Heat duty [Watt],-10867092.9,,Hydraulic static head [J/kg],,,,Specified boilup rate [kmol/sec],,,,Total product stream CO2e flow [kg/sec],0.407077536
Temperature change [K],,,,Net duty [Watt],-10867092.9,,Number of curves,,,,Specified distillate rate [kmol/sec],,,,Net stream CO2e production [kg/sec],0.406908526
Degrees of superheating [K],,,,First liquid / total liquid,1,,Operating shaft speed [Hz],,,,EO Model components,,,,,
Degrees of subcooling [K],,,,Total feed stream CO2e flow [kg/sec],43.430116,,Impeller diameter [meter],,,,Calculated molar reflux ratio ,2.64888649,16.0394767,,,
Pressure-drop correlation parameter,,,,Total product stream CO2e flow [kg/sec],43.4289052,,EO Model components,,,,Calculated bottoms rate [kmol/sec],19.8478266,19.8039036,,,
Net duty [Watt],-150738349,59954419.9,,Net stream CO2e production [kg/sec],-0.001210849,,Fluid power [Watt],53647.9746,384.755917,,Calculated boilup rate [kmol/sec],7.8509108,4.29868289,,,
First liquid / total liquid,1,1,,Utility CO2e production [kg/sec],0,,Calculated brake power [Watt],62426.6098,824.739019,,Calculated distillate rate [kmol/sec],8.37824671,1.23780707,,,
Total feed stream CO2e flow [kg/sec],0.407077536,0.119430054,,Total CO2e production [kg/sec],-0.001210849,,Electricity [Watt],62426.6098,824.739019,,Condenser / top stage temperature [K],340.700373,352.360862,,,
Total product stream CO2e flow [kg/sec],1.89E-05,0.580529842,,Utility usage,,,Volumetric flow rate [cum/sec],0.536479746,0.003797246,,Condenser / top stage pressure [N/sqm],100000,200000,,,
Net stream CO2e production [kg/sec],-0.407058594,0.461099787,,Utility cost,,,Calculated discharge pressure [N/sqm],200000,283710,,Condenser / top stage heat duty [Watt],0,0,,,
Utility CO2e production [kg/sec],0,0,,Utility ID,,,Calculated pressure change [N/sqm],100000,101325,,Condenser / top stage subcooled duty,,,,,
Total CO2e production [kg/sec],-0.407058594,0.461099787,,,,,Calculated pressure ratio,,,,Condenser / top stage reflux rate [kmol/sec],22.1930245,19.8537777,,,
Utility usage,,,,,,,NPSH available [J/kg],-9.81405783,0,,Condenser / top stage free water reflux ratio,,,,,
Utility cost,,,,,,,NPSH required,,,,Reboiler pressure [N/sqm],100000,200000,,,
Utility ID,,,,,,,Head developed [J/kg],83.3787625,102.258539,,Reboiler temperature [K],317.933384,398.782949,,,
,,,,,,,Pump efficiency used,0.859376711,0.466518387,,Reboiler heat duty [Watt],0,180000000,,,
,,,,,,,Net work required [Watt],62426.6098,824.739019,,Total feed stream CO2e flow [kg/sec],48.1217957,0.58723414,,,
,,,,,,,"Specific speed, operating",,,,Total product stream CO2e flow [kg/sec],4.75771931,43.4302851,,,
,,,,,,,"Suction sp. speed, operating",,,,Net stream CO2e production [kg/sec],-43.3640764,42.8430509,,,
,,,,,,,Head coefficient,,,,Utility CO2e production [kg/sec],0,0,,,
,,,,,,,Flow coefficient,,,,Total CO2e production [kg/sec],-43.3640764,42.8430509,,,
,,,,,,,Total feed stream CO2e flow [kg/sec],0.057488978,0.006704298,,Condenser utility usage,,,,,
,,,,,,,Total product stream CO2e flow [kg/sec],0.119430054,0.006704298,,Condenser utility cost,,,,,
,,,,,,,Net stream CO2e production [kg/sec],0.061941077,4.71E-10,,Condenser utility ID,,,,,
,,,,,,,Utility CO2e production [kg/sec],0,0,,Reboiler utility usage,,,,,
,,,,,,,Total CO2e production [kg/sec],0.061941077,4.71E-10,,Reboiler utility cost,,,,,
,,,,,,,Utility usage,,,,Reboiler utility ID,,,,,
,,,,,,,Utility cost,,,,Basis for specified distillate to feed ratio,MOLE,MOLE,,,
,,,,,,,Utility ID,,,,Specified distillate to feed ratio,,,,,
,,,,,,,,,,,Basis for specified bottoms to feed ratio,MOLE,MOLE,,,
,,,,,,,,,,,Specified bottoms to feed ratio,,,,,
,,,,,,,,,,,Basis for specified boilup ratio,MOLE,MOLE,,,
,,,,,,,,,,,Specified boilup ratio,,,,,
,,,,,,,,,,,Calculated molar boilup ratio,,0.217062402,,,
,,,,,,,,,,,Calculated mass boilup ratio,0.360704654,0.130839764,,,
