Row/Case,Status,"FLUEGAS TOTAL MASS FLOW  (KG/SEC)  
",CO2 OUT (KG/SEC),MEA IN (KG/SEC),CO2 IN (KG/SEC),LEANIN TOTAL (KG/SEC)
1,OK,200,0.837629251,112.575775,41.2266057,623.151671
3,Errors,240,5.89789686,103.962347,49.4719269,626.553761
4,Errors,280,13.6939094,103.503328,57.717248,626.756884
5,OK,320,21.9339933,103.503328,65.9625692,626.756884
6,OK,360,30.4117206,103.512264,74.2078903,626.749595
7,Errors,400,38.8891928,103.727964,82.4532115,626.645076
8,Errors,440,47.352153,103.965774,90.6985326,626.527852
9,Errors,480,55.7911951,104.171362,98.9438538,626.424806
10,Errors,520,64.2046923,104.334895,107.189175,626.341136
11,OK,560,72.594394,104.46197,115.434496,626.275526
12,OK,600,80.9653039,104.555722,123.679817,626.224896
13,Errors,640,89.3191127,104.625487,131.925138,626.186665
14,OK,680,97.658882,104.677204,140.17046,626.159132
15,Errors,720,105.986937,104.715368,148.415781,626.139706
16,OK,760,114.305315,104.742889,156.661102,626.127984
17,OK,800,122.617496,104.756786,164.906423,626.121473
18,OK,840,130.923846,104.761503,173.151744,626.119816
19,OK,880,139.226067,104.756518,181.397065,626.122655
20,OK,920,147.52537,104.741841,189.642386,626.128531
21,OK,960,155.821559,104.720816,197.887708,626.137125
22,OK,1000,164.115452,104.693366,206.133029,626.148308
