Row/Case,Status,STRIPPER REBOILER DUTY (MW),"MEA (KMOL/SEC)
","MEACOO (KMOL/SEC)
","MEAH (KMOL/SEC)
","CO3 (KMOL/SEC)
","HCO3 (KMOL/SEC)
","CO2 (KMOL/SEC)
","CLEANGAS (KMOL/SEC)
","FLUEGAS (KMOL/SEC)
"
1,OK,150,1.20998404,1.49597635,1.59892304,0.006364468,0.090215063,9.98E-06,0.373425477,1.09343321
2,OK,152,1.24430777,1.48112374,1.57888057,0.006009606,0.085726471,9.35E-06,0.354950641,1.09343321
3,OK,154,1.27895634,1.46598368,1.55879522,0.005674667,0.081442308,8.76E-06,0.336632436,1.09343321
4,OK,156,1.31362378,1.45067999,1.53884366,0.005361701,0.077411266,8.22E-06,0.318266086,1.09343321
5,OK,158,1.34843586,1.43517768,1.51894221,0.005067519,0.073591123,7.71E-06,0.300071741,1.09343321
6,OK,160,1.383243,1.41954593,1.49917147,0.004792114,0.069993319,7.23E-06,0.281889053,1.09343321
7,OK,162,1.41850545,1.40360396,1.47924858,0.004529741,0.066527372,6.78E-06,0.2639787,1.09343321
8,OK,164,1.45379177,1.38752894,1.45941883,0.004283396,0.063255309,6.36E-06,0.245926915,1.09343321
9,OK,166,1.48920842,1.37128898,1.43961662,0.00405102,0.060147668,5.97E-06,0.22804907,1.09343321
10,OK,168,1.5246306,1.35494196,1.41990509,0.003832315,0.057210204,5.60E-06,0.210074353,1.09343321
11,OK,170,1.56047264,1.33831731,1.40004362,0.003623571,0.054380467,5.25E-06,0.192522447,1.09343321
12,OK,172,1.59635024,1.32157791,1.38024205,0.003426769,0.051701279,4.93E-06,0.17487925,1.09343321
13,OK,174,1.63224633,1.30474086,1.36050817,0.003241162,0.049164882,4.62E-06,0.157263643,1.09343321
14,OK,176,1.6685639,1.2876337,1.3406111,0.003063613,0.046719273,4.33E-06,0.140125535,1.09343321
15,OK,178,1.70487801,1.27043958,1.32078135,0.002896155,0.04440748,4.07E-06,0.122820432,1.09343321
16,OK,180,1.74156391,1.25299998,1.3008111,0.002736169,0.042185637,3.81E-06,0.105951384,1.09343321
17,Errors,180,1.74217551,1.24990265,1.29758663,0.00272157,0.042005755,3.79E-06,0.105376211,1.09343321
18,OK,182,1.7786116,1.23531481,1.28070197,0.002583467,0.040055742,3.57E-06,0.089406627,1.09343321
19,OK,184,1.81617148,1.21731545,1.26037267,0.002437164,0.038006843,3.35E-06,0.073391323,1.09343321
20,OK,186,1.85449632,1.19887915,1.23968443,0.002296161,0.036025039,3.13E-06,0.058098182,1.09343321
21,OK,188,1.89423843,1.17969478,1.21829275,0.002158278,0.034081146,2.92E-06,0.044117527,1.09343321
22,OK,190,1.93698437,1.15901145,1.19537796,0.002019047,0.032114849,2.72E-06,0.032415567,1.09343321
23,OK,192,1.98830826,1.13414886,1.16802506,0.001863698,0.029919322,2.50E-06,0.023985732,1.09343321
24,OK,194,2.04791327,1.10521389,1.1364296,0.001697827,0.027571613,2.28E-06,0.019065345,1.09343321
25,OK,196,2.11251114,1.0737606,1.10233096,0.001533566,0.025233841,2.06E-06,0.015684101,1.09343321
26,OK,198,2.18099098,1.0403468,1.06634424,0.001375105,0.022956415,1.85E-06,0.012910366,1.09343321
27,OK,200,2.25145537,1.006297,1.02986104,0.001228038,0.020813618,1.65E-06,0.010614284,1.09343321
